Entry	Entry name
P31362	PO2F3_MOUSE
P79746	PO3F2_DANRE
Q812B1	PO3F4_MESAU
A1L0Z1	PO3F4_XENTR
O97552	PO5F1_BOVIN
P31367	PO6F1_DANRE
Q7Z3K3	POGZ_HUMAN
P70314	PITX1_MOUSE
P42571	PO2F3_RAT
Q03052	PO3F1_HUMAN
Q29087	PO3F3_PIG
Q90435	PO4F3_DANRE
G3V7L5	PO4F2_RAT
P56223	PO6F1_RAT
P31370	POU1_DUGJA
P97313	PRKDC_MOUSE
P20912	PO2F3_XENLA
Q90482	PO3F1_DANRE
Q4QQQ7	PO3F1_XENTR
P62516	PO3F4_RAT
Q07916	PO6F1_MOUSE
Q29076	PO2F1_PIG
Q9UKI9	PO2F3_HUMAN
D3ZTL1	PO4F3_RAT
Q5TM49	PO5F1_MACMU
Q8N7G0	PO5F2_HUMAN
Q9YGL7	PIT1_CHICK
P28069	PIT1_HUMAN
Q9H4B4	PLK3_HUMAN
Q28466	PO2F1_MACEU
Q28BL7	PO2F1_XENTR
P56225	PO5F2_RAT
Q6PCT5	PQBP1_RAT
P86480	PR20D_HUMAN
P62515	PO3F4_MOUSE
P55968	PO4F1_CHICK
Q7YR49	PO5F1_PANTR
A7Y7W2	PO5F3_CHICK
Q8BJI4	PO6F2_MOUSE
Q9GZV8	PRD14_HUMAN
Q8BHK3	S36A2_MOUSE
Q8K415	S36A2_RAT
Q8BX22	SALL4_MOUSE
Q9NSC2	SALL1_HUMAN
Q9UJQ4	SALL4_HUMAN
Q17237	SGF3_BOMMO
Q8R4T2	SIAH2_RAT
P0DME0	SETLP_HUMAN
O43255	SIAH2_HUMAN
Q920M9	SIAH1_RAT
Q06986	SIAH2_MOUSE
P48431	SOX2_HUMAN
P53784	SOX3_MOUSE
Q02446	SP4_HUMAN
P40763	STAT3_HUMAN
O15269	SPTC1_HUMAN
P13528	UNC86_CAEEL
Q96SZ4	ZSC10_HUMAN
P22227	ZFP42_MOUSE
O60481	ZIC3_HUMAN
Q3URR7	ZSC10_MOUSE
