#gene_id,sprot_Top_BLASTX_hit
evm.model.Seg1000.6_evm.model.Seg1000.7,sp|Q9UPZ6|THS7A_HUMAN^sp|Q9UPZ6|THS7A_HUMAN^Q:903-5468
evm.model.Seg1000.8,sp|Q8IYE1|CCD13_HUMAN^sp|Q8IYE1|CCD13_HUMAN^Q:169-2013
evm.model.Seg1000.9,sp|Q99LX5|MMTA2_MOUSE^sp|Q99LX5|MMTA2_MOUSE^Q:13-171
evm.model.Seg1000.10,.
evm.model.Seg1000.11,.
evm.model.Seg1000.12,sp|P38976|RAS2_HYDVU^sp|P38976|RAS2_HYDVU^Q:1-183
evm.model.Seg1000.13,sp|Q9P0T7|TMEM9_HUMAN^sp|Q9P0T7|TMEM9_HUMAN^Q:67-504
evm.model.Seg1000.14,.
evm.model.Seg1000.15,sp|Q9QYP1|LRP4_RAT^sp|Q9QYP1|LRP4_RAT^Q:5-1579
evm.model.Seg1000.16,.
evm.model.Seg1000.17,.
evm.model.Seg1000.18,sp|Q6LAF1|H4_DENKL^sp|Q6LAF1|H4_DENKL^Q:95-340
evm.model.Seg1000.19,.
evm.model.Seg1000.20,.
evm.model.Seg1000.21,.
evm.model.Seg1000.22,sp|Q91YD4|TRPM2_MOUSE^sp|Q91YD4|TRPM2_MOUSE^Q:22-363
evm.model.Seg1000.23,.
evm.model.Seg1000.24,.
evm.model.Seg10002.1,.
evm.model.Seg10007.1,.
evm.model.Seg10008.1,sp|Q9Y210|TRPC6_HUMAN^sp|Q9Y210|TRPC6_HUMAN^Q:845-1540
evm.model.Seg1001.1,sp|Q8K268|ABCF3_MOUSE^sp|Q8K268|ABCF3_MOUSE^Q:1-246
evm.model.Seg1001.2,sp|Q5R9Z5|ABCF3_PONAB^sp|Q5R9Z5|ABCF3_PONAB^Q:10-171
evm.model.Seg1001.3,sp|Q5ZJT1|HMCES_CHICK^sp|Q5ZJT1|HMCES_CHICK^Q:13-768
evm.model.Seg1001.4,.
evm.model.Seg1001.5,sp|P0CB50|PRDX1_CHICK^sp|P0CB50|PRDX1_CHICK^Q:7-543
evm.model.Seg1001.6,sp|P12263|FA8_PIG^sp|P12263|FA8_PIG^Q:121-1008
evm.model.Seg1001.7,sp|P20735|GGT1_PIG^sp|P20735|GGT1_PIG^Q:457-2067
evm.model.Seg1001.8,.
evm.model.Seg1001.9,sp|P26270|PSMD7_DROME^sp|P26270|PSMD7_DROME^Q:91-882
evm.model.Seg1001.10,sp|Q96EH3|MASU1_HUMAN^sp|Q96EH3|MASU1_HUMAN^Q:307-666
evm.model.Seg1001.11,sp|Q5NLX3|IOJAP_ZYMMO^sp|Q5NLX3|IOJAP_ZYMMO^Q:283-570
evm.model.Seg1001.12,sp|O49717|CDPKF_ARATH^sp|O49717|CDPKF_ARATH^Q:700-903
evm.model.Seg1001.13,sp|Q9D119|PPR27_MOUSE^sp|Q9D119|PPR27_MOUSE^Q:64-453
evm.model.Seg1001.14,sp|Q3ZBA6|DJB11_BOVIN^sp|Q3ZBA6|DJB11_BOVIN^Q:67-1116
evm.model.Seg1001.15,sp|Q8BYA0|TBCD_MOUSE^sp|Q8BYA0|TBCD_MOUSE^Q:46-3519
evm.model.Seg1001.16,.
evm.model.Seg1001.17,sp|O95260|ATE1_HUMAN^sp|O95260|ATE1_HUMAN^Q:57-1136
evm.model.Seg1001.17.1.57f48f75,sp|O95260|ATE1_HUMAN^sp|O95260|ATE1_HUMAN^Q:57-1136
evm.model.Seg1001.18,sp|Q8K368|FANCI_MOUSE^sp|Q8K368|FANCI_MOUSE^Q:36-3812
evm.model.Seg10013.1,sp|Q96DM1|PGBD4_HUMAN^sp|Q96DM1|PGBD4_HUMAN^Q:208-963
evm.model.Seg10014.1,sp|O18017|BLM_CAEEL^sp|O18017|BLM_CAEEL^Q:64-351
evm.model.Seg10019.1,.
evm.model.Seg1002.1,.
evm.model.Seg10021.1,.
evm.model.Seg10027.1,.
evm.model.Seg1003.1,sp|Q2MJT0|MEF2A_RAT^sp|Q2MJT0|MEF2A_RAT^Q:172-1260
evm.model.Seg1003.1.1.57f48f75,sp|Q2MJT0|MEF2A_RAT^sp|Q2MJT0|MEF2A_RAT^Q:349-1437
evm.model.Seg1003.1.2.57f48f75,sp|Q2MJT0|MEF2A_RAT^sp|Q2MJT0|MEF2A_RAT^Q:1096-2184
evm.model.Seg1003.2,sp|O95163|ELP1_HUMAN^sp|O95163|ELP1_HUMAN^Q:1-201
evm.model.Seg1003.3,sp|A4IHW6|GNPI2_XENTR^sp|A4IHW6|GNPI2_XENTR^Q:201-1007
evm.model.Seg1003.4,.
evm.model.Seg1003.5,sp|Q7Z494|NPHP3_HUMAN^sp|Q7Z494|NPHP3_HUMAN^Q:264-887
evm.model.Seg1003.5,sp|Q7Z494|NPHP3_HUMAN^sp|Q7Z494|NPHP3_HUMAN^Q:264-887
evm.model.Seg1003.5,sp|Q7Z494|NPHP3_HUMAN^sp|Q7Z494|NPHP3_HUMAN^Q:264-887
evm.model.Seg1003.5,sp|Q7Z494|NPHP3_HUMAN^sp|Q7Z494|NPHP3_HUMAN^Q:264-887
evm.model.Seg1004.1,sp|Q7TN88|PK1L2_MOUSE^sp|Q7TN88|PK1L2_MOUSE^Q:7527-8636
evm.model.Seg1004.4_evm.model.Seg1004.2,sp|Q8IVG5|SAM9L_HUMAN^sp|Q8IVG5|SAM9L_HUMAN^Q:1472-1939
evm.model.Seg1004.3,.
evm.model.Seg10043.1,.
evm.model.Seg10045.1,.
evm.model.Seg10045.2,.
evm.model.Seg1005.1,.
evm.model.Seg1005.2,sp|Q0VA82|MFSD8_DANRE^sp|Q0VA82|MFSD8_DANRE^Q:28-399
evm.model.Seg1005.3.2.57f48f75,.
evm.model.Seg1005.3.3.57f48f75,.
evm.model.Seg1005.4.1.57f48f75,.
evm.model.Seg1005.4.1.57f48f75,.
evm.model.Seg1005.3,.
evm.model.Seg1005.3.1.57f48f75,.
evm.model.Seg1005.4,.
evm.model.Seg1005.4.2.57f48f75,.
evm.model.Seg1005.4.3.57f48f75,.
evm.model.Seg1005.5,sp|E7FDW8|TRD7B_DANRE^sp|E7FDW8|TRD7B_DANRE^Q:18-551
evm.model.Seg1005.6,.
evm.model.Seg1005.7,sp|Q6NU04|TDRD7_XENLA^sp|Q6NU04|TDRD7_XENLA^Q:115-315
evm.model.Seg1005.8,sp|Q9C0B9|ZCHC2_HUMAN^sp|Q9C0B9|ZCHC2_HUMAN^Q:10-483
evm.model.Seg1005.9,sp|Q9BVG8|KIFC3_HUMAN^sp|Q9BVG8|KIFC3_HUMAN^Q:595-2337
evm.model.Seg1005.10,sp|O95995|GAS8_HUMAN^sp|O95995|GAS8_HUMAN^Q:1285-2679
evm.model.Seg1005.11,sp|D3ZDI6|MYLIP_RAT^sp|D3ZDI6|MYLIP_RAT^Q:557-1822
evm.model.Seg1005.12,sp|O00268|TAF4_HUMAN^sp|O00268|TAF4_HUMAN^Q:1814-2539
evm.model.Seg10052.1,.
evm.model.Seg10052.1,.
evm.model.Seg10058.1,.
evm.model.Seg10058.2,.
evm.model.Seg10059.1,sp|A7RJI7|CCZ1_NEMVE^sp|A7RJI7|CCZ1_NEMVE^Q:28-645
evm.model.Seg1006.1,sp|Q9TV36|FBN1_PIG^sp|Q9TV36|FBN1_PIG^Q:3-269
evm.model.Seg1006.2,sp|P37889|FBLN2_MOUSE^sp|P37889|FBLN2_MOUSE^Q:3-743
evm.model.Seg1006.3,sp|Q0V8S9|CNTP5_CHICK^sp|Q0V8S9|CNTP5_CHICK^Q:4-732
evm.model.Seg1006.4,.
evm.model.Seg1006.4.1.57f48f75,.
evm.model.Seg10061.1,.
evm.model.Seg1007.1,.
evm.model.Seg1007.2,.
evm.model.Seg1007.3,.
evm.model.Seg1007.4,.
evm.model.Seg1007.5,.
evm.model.Seg1007.6,.
evm.model.Seg10070.1,.
evm.model.Seg10075.1,.
evm.model.Seg10077.1,sp|P55112|NAS4_CAEEL^sp|P55112|NAS4_CAEEL^Q:2-169
evm.model.Seg10079.1,sp|P10394|POL4_DROME^sp|P10394|POL4_DROME^Q:260-595
evm.model.Seg1008.1,.
evm.model.Seg1008.2,.
evm.model.Seg1008.3,.
evm.model.Seg1008.4,sp|Q15154|PCM1_HUMAN^sp|Q15154|PCM1_HUMAN^Q:1105-1815
evm.model.Seg1008.5,sp|Q9Y5K6|CD2AP_HUMAN^sp|Q9Y5K6|CD2AP_HUMAN^Q:364-528
evm.model.Seg1008.6,sp|Q9EPB1|DPP2_RAT^sp|Q9EPB1|DPP2_RAT^Q:1222-2493
evm.model.Seg1008.7,sp|Q3ZBG9|PLS2_BOVIN^sp|Q3ZBG9|PLS2_BOVIN^Q:454-1134
evm.model.Seg1008.8,sp|Q3ZBG9|PLS2_BOVIN^sp|Q3ZBG9|PLS2_BOVIN^Q:208-852
evm.model.Seg1008.9,.
evm.model.Seg1008.10,sp|Q07864|DPOE1_HUMAN^sp|Q07864|DPOE1_HUMAN^Q:139-6972
evm.model.Seg1008.11,.
evm.model.Seg1008.12,sp|B5X165|SMG9_SALSA^sp|B5X165|SMG9_SALSA^Q:245-1618
evm.model.Seg1008.13,.
evm.model.Seg10085.1,.
evm.model.Seg10086.1,.
evm.model.Seg1009.1,sp|Q96PE2|ARHGH_HUMAN^sp|Q96PE2|ARHGH_HUMAN^Q:1-180
evm.model.Seg1009.2,sp|Q498J9|MBLC1_XENLA^sp|Q498J9|MBLC1_XENLA^Q:396-962
evm.model.Seg1009.3,sp|Q08BG7|SCOCA_DANRE^sp|Q08BG7|SCOCA_DANRE^Q:207-500
evm.model.Seg1009.4,.
evm.model.Seg1009.5,sp|Q14CM0|FRPD4_HUMAN^sp|Q14CM0|FRPD4_HUMAN^Q:1-357
evm.model.Seg1009.6,.
evm.model.Seg10091.1,.
evm.model.Seg10094.1,sp|Q5DTZ0|NYNRI_MOUSE^sp|Q5DTZ0|NYNRI_MOUSE^Q:9-470
evm.model.Seg10095.1,sp|Q5SVZ6|ZMYM1_HUMAN^sp|Q5SVZ6|ZMYM1_HUMAN^Q:52-984
evm.model.Seg101.1,sp|Q4VIT4|PDIA3_CHLAE^sp|Q4VIT4|PDIA3_CHLAE^Q:3-188
evm.model.Seg101.2,sp|Q8JG64|PDIA3_CHICK^sp|Q8JG64|PDIA3_CHICK^Q:3-242
evm.model.Seg101.3,.
evm.model.Seg101.4,.
evm.model.Seg101.5,.
evm.model.Seg101.6,.
evm.model.Seg101.7,.
evm.model.Seg1010.1,.
evm.model.Seg1010.2,.
evm.model.Seg1010.3,sp|O54998|FKBP7_MOUSE^sp|O54998|FKBP7_MOUSE^Q:220-633
evm.model.Seg1010.4,sp|Q9I830|KCNA2_ONCMY^sp|Q9I830|KCNA2_ONCMY^Q:1487-2557
evm.model.Seg1010.5,sp|Q8BRJ4|PPR3E_MOUSE^sp|Q8BRJ4|PPR3E_MOUSE^Q:311-841
evm.model.Seg1010.6,.
evm.model.Seg1010.7.1.57f48f75,sp|D3YXG0|HMCN1_MOUSE^sp|D3YXG0|HMCN1_MOUSE^Q:1-276
evm.model.Seg1010.7,.
evm.model.Seg1010.8,.
evm.model.Seg1010.9,.
evm.model.Seg1010.10,sp|Q9V9A7|MCCB_DROME^sp|Q9V9A7|MCCB_DROME^Q:178-1776
evm.model.Seg1010.11,.
evm.model.Seg1010.12,.
evm.model.Seg1010.12,.
evm.model.Seg1010.13,.
evm.model.Seg1010.14,.
evm.model.Seg1010.15,.
evm.model.Seg1010.16,.
evm.model.Seg1010.17,.
evm.model.Seg1010.18,sp|Q5F4A1|G2E3_CHICK^sp|Q5F4A1|G2E3_CHICK^Q:4-759
evm.model.Seg1010.19,.
evm.model.Seg1010.19.1.57f48f75,.
evm.model.Seg1010.20,sp|Q9W6F8|WIF1_XENLA^sp|Q9W6F8|WIF1_XENLA^Q:1026-1475
evm.model.Seg1010.20.1.57f48f75,sp|Q9W6F8|WIF1_XENLA^sp|Q9W6F8|WIF1_XENLA^Q:1026-1475
evm.model.Seg1010.21,.
evm.model.Seg1010.22,sp|Q6ZUJ8|BCAP_HUMAN^sp|Q6ZUJ8|BCAP_HUMAN^Q:587-1123
evm.model.Seg1010.23,sp|P22770|ACHA7_CHICK^sp|P22770|ACHA7_CHICK^Q:2-730
evm.model.Seg1010.24,.
evm.model.Seg1010.25,.
evm.model.Seg1010.26,sp|Q9Y238|DLEC1_HUMAN^sp|Q9Y238|DLEC1_HUMAN^Q:43-228
evm.model.Seg1010.27,sp|Q8BH47|SC22A_MOUSE^sp|Q8BH47|SC22A_MOUSE^Q:1-600
evm.model.Seg1010.28,sp|Q15825|ACHA6_HUMAN^sp|Q15825|ACHA6_HUMAN^Q:208-1563
evm.model.Seg1010.28,sp|Q15825|ACHA6_HUMAN^sp|Q15825|ACHA6_HUMAN^Q:208-1563
evm.model.Seg1010.29,.
evm.model.Seg10102.1,sp|Q9UBT6|POLK_HUMAN^sp|Q9UBT6|POLK_HUMAN^Q:307-663
evm.model.Seg10102.2,sp|Q9QUG2|POLK_MOUSE^sp|Q9QUG2|POLK_MOUSE^Q:1-900
evm.model.Seg10103.1,.
evm.model.Seg10107.1,sp|Q6ZMW3|EMAL6_HUMAN^sp|Q6ZMW3|EMAL6_HUMAN^Q:1-504
evm.model.Seg1011.1,sp|Q6INE3|TOIPB_XENLA^sp|Q6INE3|TOIPB_XENLA^Q:129-986
evm.model.Seg1011.2,.
evm.model.Seg1011.2.1.57f48f75,.
evm.model.Seg1011.2.2.57f48f75,.
evm.model.Seg1011.3,.
evm.model.Seg1011.4,sp|Q6S5H5|POTEG_HUMAN^sp|Q6S5H5|POTEG_HUMAN^Q:271-627
evm.model.Seg10110.1,.
evm.model.Seg10118.1,.
evm.model.Seg10119.1,.
evm.model.Seg1012.1,sp|Q07192|MP2K2_XENLA^sp|Q07192|MP2K2_XENLA^Q:359-1234
evm.model.Seg1012.2,sp|Q9GYI4|JMJD6_CAEEL^sp|Q9GYI4|JMJD6_CAEEL^Q:467-973
evm.model.Seg1012.3,.
evm.model.Seg1012.4,sp|Q9TTY2|FER_CANLF^sp|Q9TTY2|FER_CANLF^Q:891-1748
evm.model.Seg1012.4,sp|Q9TTY2|FER_CANLF^sp|Q9TTY2|FER_CANLF^Q:891-1748
evm.model.Seg1012.5,sp|Q5R4U9|SORCN_PONAB^sp|Q5R4U9|SORCN_PONAB^Q:900-1373
evm.model.Seg1012.6,sp|A4D161|F221A_HUMAN^sp|A4D161|F221A_HUMAN^Q:31-867
evm.model.Seg1012.7,.
evm.model.Seg1012.8,sp|Q2L969|MTX2_PIG^sp|Q2L969|MTX2_PIG^Q:140-871
evm.model.Seg1012.9,sp|Q9BZE4|NOG1_HUMAN^sp|Q9BZE4|NOG1_HUMAN^Q:44-1939
evm.model.Seg1012.10,sp|Q802U2|MIO_DANRE^sp|Q802U2|MIO_DANRE^Q:610-1674
evm.model.Seg1012.11,sp|Q802U2|MIO_DANRE^sp|Q802U2|MIO_DANRE^Q:19-807
evm.model.Seg1013.1,.
evm.model.Seg1013.2,.
evm.model.Seg1013.3,sp|G5E8K5|ANK3_MOUSE^sp|G5E8K5|ANK3_MOUSE^Q:228-1025
evm.model.Seg1013.3.1.57f48f75,sp|P16157|ANK1_HUMAN^sp|P16157|ANK1_HUMAN^Q:330-755
evm.model.Seg1013.4,sp|Q8NFF2|NCKX4_HUMAN^sp|Q8NFF2|NCKX4_HUMAN^Q:649-2103
evm.model.Seg1013.5,sp|P07992|ERCC1_HUMAN^sp|P07992|ERCC1_HUMAN^Q:335-1042
evm.model.Seg1013.6,.
evm.model.Seg1013.7,sp|Q58EA2|THO4A_XENLA^sp|Q58EA2|THO4A_XENLA^Q:181-543
evm.model.Seg1013.8,sp|Q1JPJ9|EF2KT_BOVIN^sp|Q1JPJ9|EF2KT_BOVIN^Q:1938-2894
evm.model.Seg1013.8,sp|Q1JPJ9|EF2KT_BOVIN^sp|Q1JPJ9|EF2KT_BOVIN^Q:1938-2894
evm.model.Seg1013.9,sp|Q8IWB9|TEX2_HUMAN^sp|Q8IWB9|TEX2_HUMAN^Q:1520-3526
evm.model.Seg1013.10,.
evm.model.Seg10134.1,sp|P10978|POLX_TOBAC^sp|P10978|POLX_TOBAC^Q:1-489
evm.model.Seg1014.1,sp|Q14344|GNA13_HUMAN^sp|Q14344|GNA13_HUMAN^Q:119-1174
evm.model.Seg1014.2,sp|Q0P4P2|FBCD1_XENTR^sp|Q0P4P2|FBCD1_XENTR^Q:649-1467
evm.model.Seg1014.3,sp|Q95LU3|FBCD1_MACFA^sp|Q95LU3|FBCD1_MACFA^Q:2344-2976
evm.model.Seg1014.4,sp|P42577|FRIS_LYMST^sp|P42577|FRIS_LYMST^Q:358-870
evm.model.Seg10140.1,sp|P35220|CTNA_DROME^sp|P35220|CTNA_DROME^Q:4-168
evm.model.Seg10144.1,.
evm.model.Seg1015.1,sp|P23787|TERA_XENLA^sp|P23787|TERA_XENLA^Q:160-2439
evm.model.Seg1015.2,sp|Q9CPW2|ADXL_MOUSE^sp|Q9CPW2|ADXL_MOUSE^Q:252-608
evm.model.Seg1015.3,.
evm.model.Seg1015.4,sp|A6NFA1|TIKI2_HUMAN^sp|A6NFA1|TIKI2_HUMAN^Q:4-327
evm.model.Seg1015.5,sp|F6PTN1|TIKI1_XENTR^sp|F6PTN1|TIKI1_XENTR^Q:13-573
evm.model.Seg10150.1,.
evm.model.Seg10153.1,.
evm.model.Seg10153.2,.
evm.model.Seg10156.1,.
evm.model.Seg1016.1,sp|Q4G0U5|PCDP1_HUMAN^sp|Q4G0U5|PCDP1_HUMAN^Q:13-2490
evm.model.Seg1016.2,.
evm.model.Seg1016.3,.
evm.model.Seg10160.1,.
evm.model.Seg10162.1,.
evm.model.Seg1017.2,.
evm.model.Seg1017.1,sp|Q8BKH7|SIN1_MOUSE^sp|Q8BKH7|SIN1_MOUSE^Q:157-1665
evm.model.Seg10174.1,sp|O93430|GLRA1_DANRE^sp|O93430|GLRA1_DANRE^Q:13-222
evm.model.Seg1018.1,.
evm.model.Seg1018.2,.
evm.model.Seg1018.3,.
evm.model.Seg1018.4,sp|P04323|POL3_DROME^sp|P04323|POL3_DROME^Q:12-458
evm.model.Seg1018.5,.
evm.model.Seg1018.6,.
evm.model.Seg1018.7,.
evm.model.Seg1018.8,sp|O35964|SH3G1_RAT^sp|O35964|SH3G1_RAT^Q:82-240
evm.model.Seg1018.9,sp|Q8N5Z5|KCD17_HUMAN^sp|Q8N5Z5|KCD17_HUMAN^Q:20-319
evm.model.Seg1018.10,sp|P16884|NFH_RAT^sp|P16884|NFH_RAT^Q:612-400
evm.model.Seg1018.11,.
evm.model.Seg1018.12,sp|P81021|VIGLN_CHICK^sp|P81021|VIGLN_CHICK^Q:1-213
evm.model.Seg1018.13,sp|Q63055|ARFRP_RAT^sp|Q63055|ARFRP_RAT^Q:118-720
evm.model.Seg1018.14,sp|P59913|PCMD1_MOUSE^sp|P59913|PCMD1_MOUSE^Q:292-1050
evm.model.Seg1018.15,sp|Q8C525|M21D2_MOUSE^sp|Q8C525|M21D2_MOUSE^Q:1299-1712
evm.model.Seg1018.16,sp|O70257|STX7_RAT^sp|O70257|STX7_RAT^Q:389-1099
evm.model.Seg1018.17,sp|Q17RB8|LONF1_HUMAN^sp|Q17RB8|LONF1_HUMAN^Q:208-2199
evm.model.Seg1018.18,sp|Q9QYF3|MYO5A_RAT^sp|Q9QYF3|MYO5A_RAT^Q:1302-1871
evm.model.Seg1018.19,.
evm.model.Seg1018.20,sp|Q9H5L6|THAP9_HUMAN^sp|Q9H5L6|THAP9_HUMAN^Q:223-975
evm.model.Seg1018.21,.
evm.model.Seg1018.22,.
evm.model.Seg1018.23,.
evm.model.Seg1018.24,.
evm.model.Seg10182.1,.
evm.model.Seg10186.1,sp|Q76KB1|HS2ST_CHICK^sp|Q76KB1|HS2ST_CHICK^Q:40-690
evm.model.Seg10186.2,sp|Q9XHH2|DNAL1_CHLRE^sp|Q9XHH2|DNAL1_CHLRE^Q:554-940
evm.model.Seg10187.1,.
evm.model.Seg10189.1,.
evm.model.Seg1019.1.2.57f48f75,sp|Q5I0H5|CCNL2_RAT^sp|Q5I0H5|CCNL2_RAT^Q:517-1041
evm.model.Seg1019.1,sp|Q96S94|CCNL2_HUMAN^sp|Q96S94|CCNL2_HUMAN^Q:620-1480
evm.model.Seg1019.1.1.57f48f75,sp|Q96S94|CCNL2_HUMAN^sp|Q96S94|CCNL2_HUMAN^Q:874-1575
evm.model.Seg1019.1.3.57f48f75,sp|Q5I0H5|CCNL2_RAT^sp|Q5I0H5|CCNL2_RAT^Q:1188-1691
evm.model.Seg1019.1.3.57f48f75,sp|Q5I0H5|CCNL2_RAT^sp|Q5I0H5|CCNL2_RAT^Q:1188-1691
evm.model.Seg1019.2,sp|Q6P1S2|CC033_HUMAN^sp|Q6P1S2|CC033_HUMAN^Q:221-853
evm.model.Seg1019.2.1.57f48f75,sp|Q6P1S2|CC033_HUMAN^sp|Q6P1S2|CC033_HUMAN^Q:221-793
evm.model.Seg1019.3,.
evm.model.Seg1019.3.1.57f48f75,.
evm.model.Seg1019.4,sp|O95140|MFN2_HUMAN^sp|O95140|MFN2_HUMAN^Q:226-2529
evm.model.Seg1019.5,sp|Q64674|SPEE_MOUSE^sp|Q64674|SPEE_MOUSE^Q:10-858
evm.model.Seg1019.6,sp|O97159|CHDM_DROME^sp|O97159|CHDM_DROME^Q:741-4022
evm.model.Seg1019.6.2.57f48f75,sp|O97159|CHDM_DROME^sp|O97159|CHDM_DROME^Q:741-4046
evm.model.Seg1019.6.3.57f48f75,sp|O97159|CHDM_DROME^sp|O97159|CHDM_DROME^Q:1200-4481
evm.model.Seg1019.6.1.57f48f75,sp|O97159|CHDM_DROME^sp|O97159|CHDM_DROME^Q:640-3945
evm.model.Seg1019.7,.
evm.model.Seg1019.8,.
evm.model.Seg1019.9,.
evm.model.Seg1019.10,.
evm.model.Seg1019.11,sp|P62870|ELOB_RAT^sp|P62870|ELOB_RAT^Q:1-321
evm.model.Seg1019.12,sp|B8JMH0|CAF17_DANRE^sp|B8JMH0|CAF17_DANRE^Q:28-1008
evm.model.Seg1019.13,sp|A2ARS0|ANR63_MOUSE^sp|A2ARS0|ANR63_MOUSE^Q:1073-1537
evm.model.Seg1019.14,sp|Q00725|SGS4_DROME^sp|Q00725|SGS4_DROME^Q:1072-776
evm.model.Seg1019.15,sp|Q96HE9|PRR11_HUMAN^sp|Q96HE9|PRR11_HUMAN^Q:1036-1392
evm.model.Seg1019.16,sp|P62752|RL23A_RAT^sp|P62752|RL23A_RAT^Q:130-489
evm.model.Seg10191.1,.
evm.model.Seg10199.1,.
evm.model.Seg102.1,.
evm.model.Seg102.2,.
evm.model.Seg102.3,.
evm.model.Seg102.4,.
evm.model.Seg102.5,.
evm.model.Seg102.6,.
evm.model.Seg102.7,sp|P98161|PKD1_HUMAN^sp|P98161|PKD1_HUMAN^Q:1075-1527
evm.model.Seg102.8,.
evm.model.Seg102.9,.
evm.model.Seg102.10,.
evm.model.Seg102.11,.
evm.model.Seg102.12,.
evm.model.Seg102.13,sp|P04323|POL3_DROME^sp|P04323|POL3_DROME^Q:1021-2262
evm.model.Seg102.14,sp|Q09575|YRD6_CAEEL^sp|Q09575|YRD6_CAEEL^Q:7-642
evm.model.Seg102.15,.
evm.model.Seg1020.3,.
evm.model.Seg1020.4,sp|Q62784|INP4A_RAT^sp|Q62784|INP4A_RAT^Q:4-189
evm.model.Seg1020.5,sp|Q96PE3|INP4A_HUMAN^sp|Q96PE3|INP4A_HUMAN^Q:1-153
evm.model.Seg1020.1,.
evm.model.Seg1020.2,sp|Q8NEC7|GSTCD_HUMAN^sp|Q8NEC7|GSTCD_HUMAN^Q:2-298
evm.model.Seg1020.7,sp|Q6DDT5|GSTCD_XENLA^sp|Q6DDT5|GSTCD_XENLA^Q:1-192
evm.model.Seg1020.8,sp|Q8NEC7|GSTCD_HUMAN^sp|Q8NEC7|GSTCD_HUMAN^Q:3-161
evm.model.Seg1020.6,.
evm.model.Seg10204.1,sp|Q09274|UN105_CAEEL^sp|Q09274|UN105_CAEEL^Q:414-1568
evm.model.Seg1021.1,.
evm.model.Seg1021.2,.
evm.model.Seg1021.3,sp|Q92626|PXDN_HUMAN^sp|Q92626|PXDN_HUMAN^Q:475-1224
evm.model.Seg1021.4,sp|Q98SV0|SELPB_DANRE^sp|Q98SV0|SELPB_DANRE^Q:58-471
evm.model.Seg1021.5,.
evm.model.Seg1021.6,sp|Q80Z32|ORC1_RAT^sp|Q80Z32|ORC1_RAT^Q:1339-1617
evm.model.Seg1021.7,.
evm.model.Seg1021.8,.
evm.model.Seg1021.9,sp|Q13415|ORC1_HUMAN^sp|Q13415|ORC1_HUMAN^Q:25-792
evm.model.Seg1021.10,.
evm.model.Seg1021.11.1.57f48f75,sp|Q9DGD1|MGT4C_CHICK^sp|Q9DGD1|MGT4C_CHICK^Q:459-1424
evm.model.Seg1021.11,sp|Q9DGD1|MGT4C_CHICK^sp|Q9DGD1|MGT4C_CHICK^Q:784-1749
evm.model.Seg1021.11,sp|Q9DGD1|MGT4C_CHICK^sp|Q9DGD1|MGT4C_CHICK^Q:784-1749
evm.model.Seg1021.12,sp|Q5F407|MGT4A_CHICK^sp|Q5F407|MGT4A_CHICK^Q:1-573
